Date,Open,High,Low,Close,Volume
2023-11-27,44.005,44.74,43.765,44.05,60928200
2023-11-28,43.8,44.6,43.67,44.4,79174530
2023-11-29,45.24,45.73,44.13,44.24,88761563
2023-11-30,44.3,44.455,42.8417,43.87,93197251
2023-12-01,43.49,44.4412,42.924,44.24,86468789
2023-12-04,42.91,43.0745,41.73,42.98,90571804
2023-12-05,42.31,43.7,42.261,43.29,83770217
2023-12-06,44.28,44.32,42.41,42.52,81500273
2023-12-07,43.48,44.54,43.11,44.3,81377726
2023-12-08,43.65,45.0,43.585,44.83,90894450
2023-12-11,44.67,46.08,44.6,45.97,75770017
2023-12-12,45.98,47.1,45.57,47.08,71449741
2023-12-13,47.38,49.0694,47.1,48.74,115040663
2023-12-14,49.25,49.73,47.5501,48.66,101348862
2023-12-15,48.94,49.79,48.7,49.24,78365489
2023-12-18,49.49,50.6,49.3667,50.27,58217985
2023-12-19,50.42,51.06,50.355,51.02,60174797
2023-12-20,50.48,51.27,48.46,48.54,88082510
2023-12-21,49.89,50.27,48.94,50.145,74544711
2023-12-22,50.6,50.94,49.64,50.35,66210036
2023-12-26,50.64,51.51,50.62,51.27,43685609
2023-12-27,51.35,51.66,51.02,51.54,55747788
2023-12-28,51.92,52.01,51.27,51.41,42884113
2023-12-29,51.38,51.5236,50.0,50.7,67122688
2024-01-02,49.35,49.43,47.265,48.13,88135330
2024-01-03,47.17,47.54,46.4301,46.59,83906123
2024-01-04,45.87,46.97,45.73,45.81,71867708
2024-01-05,45.86,46.92,45.47,45.98,85240759
2024-01-08,46.39,48.9,46.33,48.75,67687074
2024-01-09,47.66,49.41,47.61,49.07,74215767
2024-01-10,49.17,50.41,48.8401,50.04,73810511
2024-01-11,50.45,50.97,48.4,50.28,95114158
2024-01-12,50.67,50.98,49.84,50.34,64107040
2024-01-16,49.88,50.91,49.33,50.31,72937014
2024-01-17,49.07,49.59,47.87,49.44,83277288
2024-01-18,50.59,51.72,50.11,51.56,91070426
2024-01-19,52.32,54.62,52.1,54.54,93179737
2024-01-22,55.41,55.92,54.5101,54.76,74828256
2024-01-23,55.01,55.48,54.28,55.41,56086001
2024-01-24,56.95,57.9,56.115,56.32,89859289
2024-01-25,57.26,57.53,55.52,56.48,75697602
2024-01-26,55.68,56.39,55.18,55.44,64191290
2024-01-29,55.61,57.2,55.34,57.07,57988590
2024-01-30,56.69,56.915,55.6,55.93,59777219
2024-01-31,54.19,54.984,52.58,52.64,101725798
2024-02-01,53.29,54.64,52.91,54.5,81130731
2024-02-02,55.18,57.68,54.79,57.24,99252481
2024-02-05,57.19,57.42,55.57,56.95,69973880
2024-02-06,57.38,57.64,55.64,56.62,70062112
2024-02-07,57.69,58.66,57.17,58.31,65911717
2024-02-08,58.31,58.89,58.02,58.55,49461067
2024-02-09,59.03,60.61,58.712,60.27,55111003
2024-02-12,60.21,61.14,59.275,59.56,58127494
2024-02-13,56.24,57.87,55.435,56.74,94466455
2024-02-14,57.8,58.75,56.8601,58.54,78075715
2024-02-15,58.81,59.2102,57.73,59.03,65028589
2024-02-16,59.16,59.21,57.11,57.41,75966471
2024-02-20,56.58,57.18,54.55,56.08,81660547
2024-02-21,54.97,55.42,53.82,55.38,77293151
2024-02-22,58.78,60.595,58.4901,60.17,89639615
2024-02-23,60.83,61.22,59.22,59.62,70195400
2024-02-26,59.94,60.37,59.43,59.54,54937679
2024-02-27,59.96,60.09,58.87,59.91,54699868
2024-02-28,59.03,59.525,58.5501,58.94,61751698
2024-02-29,60.08,60.85,58.78,60.36,68479880
2024-03-01,60.75,63.51,60.73,63.13,70479840
2024-03-04,63.09,63.28,62.305,62.38,60209281
2024-03-05,61.1,61.1,58.02,59.04,96603453
2024-03-06,60.74,61.426,59.35,60.13,90838664
2024-03-07,61.55,63.315,60.914,62.81,71185447
2024-03-08,62.92,64.13,59.77,60.06,148225630
2024-03-11,59.41,59.88,58.56,59.36,73384978
2024-03-12,60.29,62.04,58.96,61.88,85279972
2024-03-13,61.44,61.455,59.9687,60.44,71889870
2024-03-14,60.87,61.1,58.79,59.95,81240179
2024-03-15,58.69,58.9217,57.285,57.76,70441908
2024-03-18,59.88,60.8,59.29,59.39,64596873
2024-03-19,58.54,59.98,57.6802,59.8,59404997
2024-03-20,60.07,61.83,59.36,61.7,78277959
2024-03-21,63.75,63.95,62.42,62.5,63270936
2024-03-22,62.27,63.17,61.9048,62.63,45787397
2024-03-25,61.48,62.63,61.06,61.99,43334664
2024-03-26,62.61,63.01,61.28,61.41,46992994
2024-03-27,62.57,62.63,60.71,61.95,55694322
2024-03-28,61.89,62.23,61.4,61.56,43511650
2024-04-01,61.92,62.99,61.12,61.94,56145253
2024-04-02,59.87,60.42,59.001,60.28,54836364
2024-04-03,59.4,61.4599,59.38,60.68,55841892
2024-04-04,62.35,62.6099,57.7401,57.82,83760190
2024-04-05,58.4,60.9287,58.055,59.86,77448632
2024-04-08,60.21,60.6599,59.312,59.9,44862710
2024-04-09,60.81,60.935,58.575,60.52,60155937
2024-04-10,58.36,59.275,58.06,58.93,101040254
2024-04-11,59.61,62.06,58.6836,61.7,73465587
2024-04-12,59.88,60.35,58.12,58.72,86294903
2024-04-15,60.2,60.23,55.44,55.77,101828092
2024-04-16,55.69,56.81,55.24,55.78,81883055
2024-04-17,56.54,56.55,53.35,53.71,85513176
2024-04-18,53.89,54.56,52.51,52.75,86390768
2024-04-19,52.28,52.47,48.85,49.46,124904299
